# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-8.414705882352942368e+00, 8.445468462080912841e-06, 1.108741885524322686e-02, 5.278417788801004207e-05, 6.929636784527015703e-02
-8.255882352941178226e+00, 6.100059175779062870e-06, 9.771130302127185516e-03, 3.812536984861697453e-05, 6.106956438829490297e-02
-8.097058823529414084e+00, 4.270492431342892692e-06, 8.489086721167517918e-03, 2.669057769588700779e-05, 5.305679200729698092e-02
-7.938235294117648166e+00, 2.884565770413898000e-06, 7.264881842405864626e-03, 1.802853606509141615e-05, 4.540551151503664784e-02
-7.779411764705884025e+00, 1.860586260477893605e-06, 6.105961560657110175e-03, 1.162866412798835292e-05, 3.816225975410693361e-02
-7.620588235294119883e+00, 1.143313976849184843e-06, 5.042219517739749204e-03, 7.145712355299815854e-06, 3.151387198587343036e-02
-7.461764705882353965e+00, 6.627614426565550665e-07, 4.083939074482424540e-03, 4.142259016601951283e-06, 2.552461921551515273e-02
-7.302941176470589824e+00, 3.567948843315009444e-07, 3.231975803479923432e-03, 2.229968027071121961e-06, 2.019984877174951787e-02
-7.144117647058825682e+00, 1.781161594227760603e-07, 2.503931810211603142e-03, 1.113225996392241957e-06, 1.564957381382251628e-02
-6.985294117647059764e+00, 8.087764739677337500e-08, 1.892739300583315453e-03, 5.054852962298878039e-07, 1.182962062864571957e-02
-6.826470588235295622e+00, 3.272161682148916340e-08, 1.390501913713587580e-03, 2.045101051336567499e-07, 8.690636960709921185e-03
-6.667647058823531481e+00, 1.176324446422287451e-08, 9.958660800891304052e-04, 7.352027790123033535e-08, 6.224163000557064382e-03
-6.508823529411765563e+00, 3.642440249591871737e-09, 6.917580124788495505e-04, 2.276525155973235792e-08, 4.323487577992808986e-03
-6.350000000000001421e+00, 9.523130108384132708e-10, 4.648180112613628078e-04, 5.951956317997580959e-09, 2.905112570383516953e-03
-6.191176470588237279e+00, 2.107339750834560932e-10, 3.029552463805069680e-04, 1.317087344569756180e-09, 1.893470289878168089e-03
-6.032352941176471361e+00, 3.868010021979527424e-11, 1.903513927815831720e-04, 2.417506262449714560e-10, 1.189696204884894710e-03
-5.873529411764707220e+00, 6.041301817529334817e-12, 1.152183849465284094e-04, 3.775813635278207903e-11, 7.201149059158024404e-04
-5.714705882352943078e+00, 8.117997105702018379e-13, 6.730163813451998250e-05, 5.073748279155188001e-12, 4.206352383407497924e-04
-5.555882352941177160e+00, 8.150293997642374388e-14, 3.766373508017579417e-05, 5.093934172042957620e-13, 2.353983442510986543e-04
-5.397058823529413019e+00, 4.836727535411505796e-15, 2.024177224415925618e-05, 3.022956234291496180e-14, 1.265110765259953342e-04
-5.238235294117648877e+00, 1.180323471339922436e-16, 1.044380650642594699e-05, 7.377047106862932857e-16, 6.527379066516215045e-05
-5.079411764705882959e+00, 6.412039410715053567e-19, 5.130904641661782262e-06, 4.004771774618332003e-18, 3.206815401038613490e-05
